Audi_id,Total_Gap_pre(s),Amount of time called(s),Calling_effort_pre_expo(proportion),Total_Gap_post(s),Amount of time called(s),Calling_effort_post(proportion),Treatment
T32_M40_30012024_2min.WAV,0.0,300.00,1.00,19.1,280.92,0.94,2min.WAV
T34_M35_30012024_2min.WAV,11.7,288.32,0.96,2.4,297.61,0.99,2min.WAV
T35_M39_30012024_2min.WAV,9.1,290.88,0.97,22.6,277.39,0.92,2min.WAV
T39_M033_01022024_2min.WAV,34.6,265.39,0.88,21.5,278.53,0.93,2min.WAV
T40_M032_01022024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T41_M031_01022024_2min.WAV,6.18,293.82,0.98,18.87,281.14,0.94,2min.WAV
T43_M034_01022024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T59_M021_08022024_2min.WAV,2.91,297.09,0.99,21.37,278.63,0.93,2min.WAV
T99_M043_28022024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T100_M045_28022024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T101_M076_29022024_2min.WAV,78.14,221.86,0.74,246.03,53.97,0.18,2min.WAV
T102_M068_29022024_2min.WAV,5.13,294.87,0.98,2.09,297.91,0.99,2min.WAV
T103_M075_29022024_2min.WAV,14.61,285.39,0.95,103.76,196.24,0.65,2min.WAV
T107_M070_04032024_2min.WAV,13.80,286.20,0.95,0.00,300.00,1.00,2min.WAV
T109_M077_04032024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T129_M108_14032024_2min.WAV,0.0,300.00,1.00,21.46,278.54,0.93,2min.WAV
T130_M115_14032024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T133_M119_17032024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T134_M120_17032024_2min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,2min.WAV
T135_M122_17032024_2min.WAV,64.0,235.98,0.79,0.00,300.00,1.00,2min.WAV
T44_M039_02022024_5min.WAV,2.34,297.66,0.99,2.19,297.81,0.99,5min.WAV
T45_M020_02022024_5min.WAV,0.0,300.00,1.00,12.19,287.81,0.96,5min.WAV
T49_M040_05022024_5min.WAV,127.38,172.62,0.58,8.78,291.22,0.97,5min.WAV
T50_M029_05022024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T51_M027_05022024_5min.WAV,5.40,294.60,0.98,0.00,300.00,1.00,5min.WAV
T52_M031_05022024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T53_M035_06022024_5min.WAV,13.4,286.57,0.96,0.00,300.00,1.00,5min.WAV
T56_M028_06022024_5min.WAV,0.0,300.00,1.00,24.01,275.99,0.92,5min.WAV
T57_M016_08022024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T58_M017_08022024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T91_M063_25022024_5min.WAV,130.68,169.32,0.56,229.60,70.40,0.23,5min.WAV
T94_M063_27022024_5min.WAV,30.89,269.11,0.90,96.55,203.45,0.68,5min.WAV
T95_M049_27022024_5min.WAV,67.43,232.58,0.78,280.80,19.20,0.06,5min.WAV
T96_M052_28022024_5min.WAV,0.0,300.00,1.00,171.49,128.51,0.43,5min.WAV
T97_M066_28022024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T106_M072_01032024_5min.WAV,88.35,211.65,0.71,191.16,108.84,0.36,5min.WAV
T123_M0104_12032024_5min.WAV,0.0,300.00,1.00,300.00,0.00,0.00,5min.WAV
T124_M0107_12032024_5min.WAV,126.35,173.65,0.58,264.29,35.72,0.12,5min.WAV
T125_M0106_13032024_5min.WAV,0.0,300.00,1.00,203.49,96.51,0.32,5min.WAV
T127_M0111_13032024_5min.WAV,0.0,300.00,1.00,5.53,294.47,0.98,5min.WAV
T128_M0113_13032024_5min.WAV,240.50,59.50,0.20,153.76,146.24,0.49,5min.WAV
T138_M0123_18032024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T140_M0124_18032024_5min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,5min.WAV
T60_M011_12022024_10min.WAV,5.52,294.48,0.98,300.00,0.00,0.00,10min.WAV
T61_M020_12022024_10min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,10min.WAV
T62_M016_16022024_10min.WAV,10.17,289.84,0.97,120.39,179.61,0.60,10min.WAV
T66_M030_16022024_10min.WAV,45.32,254.69,0.85,26.03,273.97,0.91,10min.WAV
T67_M043_17022024_10min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,10min.WAV
T70_M041_17022024_10min.WAV,0.0,300.00,1.00,42.27,257.73,0.86,10min.WAV
T71_M045_17022024_10min.WAV,11.62,288.38,0.96,26.63,273.38,0.91,10min.WAV
T75_M050_18022024_10min.WAV,0.0,300.00,1.00,13.73,286.27,0.95,10min.WAV
T81_M055_21022024_10min.WAV,123.91,176.09,0.59,186.20,113.80,0.38,10min.WAV
T82_M051_21022024_10min.WAV,8.6,291.43,0.97,0.00,300.00,1.00,10min.WAV
T83_M049_21022024_10min.WAV,295.30,4.70,0.02,300.00,0.00,0.00,10min.WAV
T85_M059_22022024_10min.WAV,259.33,40.67,0.14,300.00,0.00,0.00,10min.WAV
T86_M058_22022024_10min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,10min.WAV
T89_M058_25022024_10min.WAV,5.91,294.09,0.98,70.17,229.83,0.77,10min.WAV
T90_M055_25022024_10min.WAV,177.09,122.91,0.41,15.40,284.60,0.95,10min.WAV
T105_M070_01032024_10min.WAV,12.57,287.43,0.96,5.15,294.85,0.98,10min.WAV
T112_M086_05032024_10min.WAV,0.0,300.00,1.00,19.27,280.73,0.94,10min.WAV
T115_M091_05032024_10min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,10min.WAV
T120_M088_11032024_10min.WAV,51.00,249.00,0.83,27.60,272.41,0.91,10min.WAV
T121_M0103_13032024_10min.WAV,0.0,300.00,1.00,0.00,300.00,1.00,10min.WAV
T88_M062_25022024_CONTROL.WAV,0.0,300.00,1.00,0.00,300.00,1.00,CONTROL.WAV
T93_M062_27022024_CONTROL.WAV,0.0,300.00,1.00,0.00,300.00,1.00,CONTROL.WAV
T98_M065_28022024_CONTROL.WAV,48.58,251.42,0.84,73.96,226.04,0.75,CONTROL.WAV
T113_M084_05032024_CONTROL.WAV,32.28,267.72,0.89,5.19,294.81,0.98,CONTROL.WAV
T122_M0105_13032024_CONTROL.WAV,0.0,300.00,1.00,6.25,293.75,0.98,CONTROL.WAV
T126_M0109_13032024_CONTROL.WAV,0.0,300.00,1.00,9.91,290.09,0.97,CONTROL.WAV
T131_M114_14032024_CONTROL.WAV,0.0,300.00,1.00,100.79,199.21,0.66,CONTROL.WAV
T136_M121_17032024_CONTROL.WAV,0.0,300.00,1.00,0.00,300.00,1.00,CONTROL.WAV
T137_M116_17032024_CONTROL.WAV,162.92,137.09,0.46,0.00,300.00,1.00,CONTROL.WAV
T139_M0127_18032024_CONTROL.WAV,0.0,300.00,1.00,3.4,296.57,0.99,CONTROL.WAV
T141_M0125_18032024_CONTROL.WAV,7.1,292.91,0.98,0.00,300.00,1.00,CONTROL.WAV
T142_M0117_21032024_CONTROL.WAV,0.0,300.00,1.00,19.4,280.56,0.94,CONTROL.WAV
T37_M173_03042024_CONTROL.WAV,66.0,233.96,0.78,0.00,300.00,1.00,CONTROL.WAV
T42_M176_04042024_CONTROL.WAV,0.0,300.00,1.00,0.00,300.00,1.00,CONTROL.WAV
T49_M183_05042024_CONTROL.WAV,0.0,300.00,1.00,108.3,191.74,0.64,CONTROL.WAV