Trial,treatment,latency,call_no_call
1,no_playback_at_start,5,1
2,no_playback_at_start,1,1
3,no_playback_at_start,0,0
4,no_playback_at_start,0,0
5,no_playback_at_start,0,0
10,no_playback_at_start,0,0
11,no_playback_at_start,0,0
12,no_playback_at_start,5,1
13,no_playback_at_start,5,1
14,no_playback_at_start,0,0
15,no_playback_at_start,0,0
16,no_playback_at_start,0,0
17,no_playback_at_start,5,1
18,no_playback_at_start,5,1
19,no_playback_at_start,5,1
20,no_playback_at_start,0,0
21,no_playback_at_start,5,1
22,no_playback_at_start,0,0
23,no_playback_at_start,0,0
24,no_playback_at_start,0,0
25,no_playback_at_start,5,1
26,no_playback_at_start,5,1
27,no_playback_at_start,5,1
28,no_playback_at_start,2,1
29,no_playback_at_start,6,1
30,no_playback_at_start,2,1
31,no_playback_at_start,0,0
32,no_playback_at_start,1,1
33,no_playback_at_start,0,0
34,no_playback_at_start,3,1
35,no_playback_at_start,6,1
36,no_playback_at_start,0,0
37,no_playback_at_start,0,0
38,no_playback_at_start,0,0
39,no_playback_at_start,4,1
40,no_playback_at_start,10,1
41,no_playback_at_start,11,1
42,no_playback_at_start,0,0
43,no_playback_at_start,3,1
44,no_playback_at_start,5,1
45,no_playback_at_start,9,1
46,no_playback_at_start,0,0
47,no_playback_at_start,0,0
48,no_playback_at_start,0,0
49,no_playback_at_start,10,1
50,no_playback_at_start,13,1
51,no_playback_at_start,9,1
52,no_playback_at_start,5,1
53,no_playback_at_start,14,1
54,no_playback_at_start,0,0
55,no_playback_at_start,0,0
56,no_playback_at_start,9,1
57,no_playback_at_start,10,1
58,no_playback_at_start,7,1
59,no_playback_at_start,13,1
60,no_playback_at_start,19,1
61,no_playback_at_start,17,1
62,no_playback_at_start,7,1
63,no_playback_at_start,0,0
64,no_playback_at_start,0,0
65,no_playback_at_start,0,0
66,no_playback_at_start,11,1
67,no_playback_at_start,7,1
68,no_playback_at_start,0,0
69,no_playback_at_start,0,0
70,no_playback_at_start,1,1
71,no_playback_at_start,6,1
72,no_playback_at_start,0,0
73,no_playback_at_start,0,0
74,no_playback_at_start,0,0
75,no_playback_at_start,20,1
76,no_playback_at_start,0,0
77,no_playback_at_start,0,0
78,no_playback_at_start,0,0
79,no_playback_at_start,0,0
80,no_playback_at_start,6,1
81,no_playback_at_start,5,1
82,no_playback_at_start,3,1
84,no_playback_at_start,0,0
85,no_playback_at_start,0,0
86,no_playback_at_start,0,0
87,no_playback_at_start,13,1
88,no_playback_at_start,1,1
89,no_playback_at_start,3,1
90,no_playback_at_start,6,1
91,no_playback_at_start,11,1
92,no_playback_at_start,4,1
93,no_playback_at_start,1,1
94,no_playback_at_start,6,1
95,no_playback_at_start,10,1
96,no_playback_at_start,8,1
97,no_playback_at_start,7,1
98,no_playback_at_start,5,1
99,no_playback_at_start,9,1
100,no_playback_at_start,15,1
101,no_playback_at_start,1,1
102,no_playback_at_start,14,1
103,no_playback_at_start,15,1
104,no_playback_at_start,0,0
105,no_playback_at_start,3,1
106,no_playback_at_start,4,1
107,no_playback_at_start,4,1
108,no_playback_at_start,0,0
109,no_playback_at_start,0,0
110,no_playback_at_start,0,0
111,no_playback_at_start,0,0
112,no_playback_at_start,1,1
113,no_playback_at_start,12,1
114,no_playback_at_start,1,1
115,no_playback_at_start,9,1
116,no_playback_at_start,0,0
117,no_playback_at_start,0,0
118,no_playback_at_start,0,0
119,no_playback_at_start,0,0
120,no_playback_at_start,9,1
121,no_playback_at_start,4,1
122,no_playback_at_start,16,1
123,no_playback_at_start,16,1
124,no_playback_at_start,3,1
125,no_playback_at_start,6,1
126,no_playback_at_start,8,1
127,no_playback_at_start,7,1
128,no_playback_at_start,14,1
129,no_playback_at_start,8,1
130,no_playback_at_start,17,1
131,no_playback_at_start,8,1
132,no_playback_at_start,0,0
133,no_playback_at_start,1,1
134,no_playback_at_start,4,1
135,no_playback_at_start,12,1
136,no_playback_at_start,6,1
137,no_playback_at_start,5,1
138,no_playback_at_start,1,1
139,no_playback_at_start,1,1
140,no_playback_at_start,7,1
141,no_playback_at_start,13,1
142,no_playback_at_start,5,1
144,no_playback_at_start,2,1
145,no_playback_at_start,5,1
147,no_playback_at_start,11,1
148,no_playback_at_start,1,1
149,no_playback_at_start,4,1
150,no_playback_at_start,7,1
1,playback_at_start,16,1
2,playback_at_start,11,1
3,playback_at_start,14,1
4,playback_at_start,16,1
5,playback_at_start,9,1
6,playback_at_start,11,1
7,playback_at_start,13,1
8,playback_at_start,0,0
9,playback_at_start,30,1
10,playback_at_start,11,1
12,playback_at_start,26,1
13,playback_at_start,2,1
14,playback_at_start,11,1
15,playback_at_start,12,1
17,playback_at_start,11,1
18,playback_at_start,11,1
19,playback_at_start,12,1
20,playback_at_start,21,1
22,playback_at_start,18,1
23,playback_at_start,23,1
24,playback_at_start,11,1
25,playback_at_start,12,1
27,playback_at_start,12,1
28,playback_at_start,16,1
29,playback_at_start,0,0
30,playback_at_start,15,1
32,playback_at_start,0,0
33,playback_at_start,14,1
34,playback_at_start,26,1
36,playback_at_start,0,0
38,playback_at_start,7,1
39,playback_at_start,13,1
40,playback_at_start,0,0
41,playback_at_start,11,1
43,playback_at_start,12,1
44,playback_at_start,0,0
45,playback_at_start,14,1
46,playback_at_start,0,0
47,playback_at_start,6,1
48,playback_at_start,0,0
50,playback_at_start,0,0
51,playback_at_start,28,1
52,playback_at_start,12,1
53,playback_at_start,17,1
54,playback_at_start,0,0
55,playback_at_start,0,0
56,playback_at_start,11,1
57,playback_at_start,11,1
58,playback_at_start,11,1
59,playback_at_start,15,1
60,playback_at_start,22,1
61,playback_at_start,11,1
62,playback_at_start,14,1
63,playback_at_start,0,0
64,playback_at_start,0,0
65,playback_at_start,25,1
66,playback_at_start,0,0
67,playback_at_start,15,1
68,playback_at_start,12,1
69,playback_at_start,0,0