Trial Id,Speaker side,Moving side,Movement,Towards
T29,L,R,1,0
T30,R,0,0,0
T31,R,0,0,0
T32,R,0,0,0
T33,L,L,1,1
T34,L,0,0,0
T35,R,0,0,0
T36,L,0,0,0
T37,R,0,0,0
T38,L,R,1,0
T39,R,R,1,1
T40,R,R,1,1
T41,L,0,0,0
T42,L,R,1,0
T43,R,0,0,0
T44,L,0,0,0
T45,R,L,1,0
T46,L,R,1,0
T47,L,0,0,0
T48,R,0,0,0
T49,R,0,0,0
T50,L,0,0,0
T51,R,0,0,0
T52,R,0,0,0
T53,R,0,0,0
T54,L,0,0,0
T55,R,L,1,0
T56,R,0,0,0
T57,R,R,1,1
T58,L,0,0,0
T59,L,R,1,0
T60,L,R,1,0
T61,L,L,1,1
T62,R,0,0,0
T63,R,0,0,0
T64,L,0,0,0
T65,L,0,0,0
T66,L,R,1,0
T67,L,0,0,0
T68,L,0,0,0
T69,L,0,0,0
T70,L,0,0,0
T71,R,0,0,0
T72,R,0,0,0
T73,R,0,0,0
T74,R,0,0,0
T75,R,0,0,0
T76,R,0,0,0
T77,R,0,0,0
T78,R,0,0,0
T79,L,R,1,0
T80,L,0,0,0
T81,R,R,1,1
T82,L,L,1,1
T83,L,R,1,0
T84,R,0,0,0
T85,R,0,0,0
T86,R,0,0,0
T87,R,L,1,0
T88,R,0,0,0
T89,R,0,0,0
T90,R,0,0,0
T91,R,R,1,1
T92,L,0,0,0
T93,L,0,0,0
T94,R,0,0,0
T95,R,0,0,0
T96,L,0,0,0
T97,L,0,0,0
T98,R,0,0,0
T99,L,0,0,0
T100,L,L,1,1
T101,L,0,0,0
T102,L,R,1,0
T103,L,0,0,0
T104,L,0,0,0
T105,R,R,1,1
T106,R,0,0,0
T107,R,0,0,0
T108,L,0,0,0
T109,L,0,0,0
T110,L,0,0,0
T111,L,0,0,0
T112,R,0,0,0
T113,R,0,0,0
T114,R,0,0,0
T115,R,0,0,0
T116,L,0,0,0
T117,R,L,1,0
T118,R,0,0,0
T119,L,0,0,0
T120,L,0,0,0
T121,L,0,0,0
T122,L,R,1,0
T123,R,0,0,0
T124,L,L,1,1
T125,L,0,0,0
T126,R,L,1,0
T127,R,0,0,0
T128,L,0,0,0
T129,L,0,0,0
T130,R,L,1,0
T131,L,0,0,0
T132,R,0,0,0
T133,L,0,0,0
T134,L,0,0,0
T135,L,R,1,0
T136,R,0,0,0
T137,L,0,0,0
T138,L,0,0,0
T139,L,0,0,0
T140,L,R,1,0
T141,R,0,0,0
T142,R,0,0,0
T143,L,0,0,0
T144,L,0,0,0
T145,R,L,1,0
T146,L,R,1,0
T147,R,R,1,1
T148,R,0,0,0
T149,L,0,0,0