DATE,TRIAL_NO.,EXPOSURE(dB),MALE_SPL_POST_EXPO(dB),CHIRP_RATE_POST_EXPO(s),SPEAKER_SIDE,MOVEMENT_SIDE (0/L/R),START CALL(min),REMARKS
21/03/2024,1,70,62.4,1.56,L,L,16,NaN
21/03/2024,2,70,63.4,1.70,L,0,11,NaN
21/03/2024,3,70,63.6,1.74,R,0,14,NaN
23/03/2024,4,70,NaN,NaN,L,L,16,Intermittant caller Stopped calling after two min no SPL
23/03/2024,5,70,60.2,2.19,R,0,9,NaN
23/03/2024,6,70,64.5,1.91,L,0,11,NaN
23/03/2024,7,70,NaN,NaN,R,L,13,Intermittant caller Stopped calling after two min no SPL
23/03/2024,8,70,NaN,NaN,R,R,NaN,NaN
24/03/2024,9,70,61.6,1.60,R,R,30,NaN
24/03/2024,10,70,64.1,1.76,R,L,11,NaN
24/03/2024,12,70,57.7,1.66,L,0,26,NaN
25/03/2024,13,70,59.9,2.24,R,0,2,NaN
25/03/2024,14,70,62.7,,R,R,11,Audio Data Missing
25/03/2024,15,70,63.1,1.89,R,R,12,NaN
25/03/2024,17,70,NaN,1.86,L,0,11,Male stop call when SPL meter near
25/03/2024,18,70,61.9,2.07,R,0,11,NaN
27/03/2024,19,70,62.5,1.65,L,L,12,NaN
27/03/2024,20,70,57.8,1.63,R,0,21,NaN
27/03/2024,22,70,64.6,1.79,L,R,18,NaN
27/03/2024,23,70,59.6,1.53,L,L,23,NaN
27/03/2024,24,70,62.1,1.79,R,L,11,NaN
28/03/2024,25,70,61.6,1.77,R,0,12,NaN
28/03/2024,27,70,63.5,1.69,R,0,12,NaN
28/03/2024,28,70,61.0,1.66,R,0,16,NaN
28/03/2024,29,70,NaN,NaN,L,L,NaN,Male No Call
02/04/2024,30,70,NaN,NaN,R,L,15,Intermittant caller Stopped calling after two min no SPL
02/04/2024,32,70,NaN,NaN,L,R,NaN,Male No Call
02/04/2024,33,70,63.1,2.03,L,L,14,NaN
02/04/2024,34,70,63.0,1.89,L,R,26,NaN
03/04/2024,36,70,NaN,NaN,R,R,NaN,Male No Call
03/04/2024,38,70,67.7,1.52,R,0,7,NaN
03/04/2024,39,70,61.3,1.82,R,R,13,NaN
03/04/2024,40,70,NaN,NaN,L,L,NaN,Male No Call
04/04/2024,41,70,64.5,1.95,R,R,11,NaN
04/04/2024,43,70,65.4,1.53,L,L,12,NaN
04/04/2024,44,70,NaN,NaN,L,0,NaN,Male No Call
04/04/2024,45,70,60.8,1.67,R,0,14,NaN
04/04/2024,46,70,NaN,NaN,L,L,NaN,Male No Call
05/04/2024,47,70,57.7,1.86,L,0,6,NaN
05/04/2024,48,70,NaN,NaN,L,L,NaN,Male No Call
05/04/2024,50,70,NaN,NaN,R,0,NaN,Male No Call
08/04/2024,51,70,62.2,1.52,L,L,28,NaN
08/04/2024,52,70,58.0,1.67,R,0,12,NaN
08/04/2024,53,70,59.4,1.74,R,R,17,NaN
08/04/2024,54,70,NaN,NaN,L,0,NaN,Male No Call
08/04/2024,55,70,NaN,NaN,L,0,NaN,Male No Call
09/04/2024,56,70,59.4,1.86,L,L,11,NaN
09/04/2024,57,70,65.2,1.98,L,0,11,NaN
09/04/2024,58,70,60.6,1.98,R,0,11,NaN
09/04/2024,59,70,NaN,NaN,L,0,15,Intermittant caller Stopped calling after two min no SPL
09/04/2024,60,70,61.4,NaN,L,L,22,Less than 10 chirps
09/04/2024,61,70,NaN,NaN,L,0,11,Intermittant caller Stopped calling after two min no SPL
10/04/2024,62,70,55.6,2.13,L,L,14,NaN
10/04/2024,63,70,NaN,NaN,R,R,NaN,Male No Call
10/04/2024,64,70,NaN,NaN,R,R,NaN,Male No Call
10/04/2024,65,70,59.6,1.83,R,0,25,NaN
10/04/2024,66,70,NaN,NaN,R,0,NaN,Male No Call
11/04/2024,67,70,57.7,1.88,L,0,15,NaN
11/04/2024,68,70,60.0,1.88,R,0,12,NaN
11/04/2024,69,70,NaN,NaN,R,0,NaN,Male No Call